Threshold,Discount_Pct,Retention_Success_Rate_Pct,Customers_Targeted,Actual_Churners,Campaign_Cost,Revenue_Saved,Discount_Cost,Net_Benefit,ROI_Pct,Payback_Months
0.4,15,30,167,69,8350,167067320.5522467,65998586.677923076,101060383.8743236,1210303.9984948935,9.91486437698539e-4
0.4,15,40,167,69,8350,222756427.40299562,87998115.57056409,134749961.83243152,1613771.997993192,7.435994685074853e-4
0.4,15,50,167,69,8350,278445534.2537445,109997644.46320511,168439539.79053938,2017239.9974914896,5.948722023617632e-4
0.4,15,60,167,69,8350,334134641.1044934,131997173.35584615,202129117.7486472,2420707.996989787,4.957227395837214e-4
0.4,15,70,167,69,8350,389823747.9552423,153996702.24848714,235818695.70675513,2824175.9964880855,4.2490269781069666e-4
0.4,20,30,167,69,8350,167067320.5522467,87998115.5705641,79060854.98168258,946836.5866069772,0.001267378148430283
0.4,20,40,167,69,8350,222756427.40299562,117330820.76075214,105417256.64224347,1262482.1154759699,9.505085143701912e-4
0.4,20,50,167,69,8350,278445534.2537445,146663525.95094016,131773658.30280432,1578127.6443449617,7.603947654678387e-4
0.4,20,60,167,69,8350,334134641.1044934,175996231.1411282,158130059.96336517,1893773.1732139543,6.336556124952704e-4
0.4,20,70,167,69,8350,389823747.9552423,205328936.33131623,184486461.62392604,2209418.702082947,5.431292850326154e-4
0.4,25,30,167,69,8350,167067320.5522467,109997644.46320513,57061326.08904156,683369.1747190607,0.0017560054570698643
0.4,25,40,167,69,8350,222756427.40299562,146663525.95094016,76084551.45205545,911192.232958748,0.0013169559140154866
0.4,25,50,167,69,8350,278445534.2537445,183329407.4386752,95107776.81506929,1139015.2911984345,0.0010535416067482283
0.4,25,60,167,69,8350,334134641.1044934,219995288.92641026,114131002.17808312,1366838.3494381213,8.779384925022735e-4
0.4,25,70,167,69,8350,389823747.9552423,256661170.41414526,133154227.54109702,1594661.4076778085,7.525108428801035e-4
0.4,30,30,167,69,8350,167067320.5522467,131997173.35584615,35061797.19640054,419901.76283114415,0.0028578112935490536
0.4,30,40,167,69,8350,222756427.40299562,175996231.14112818,46751846.261867434,559902.3504415262,0.0021432308670497765
0.4,30,50,167,69,8350,278445534.2537445,219995288.92641023,58441895.327334255,699902.9380519072,0.0017145234499801511
0.4,30,60,167,69,8350,334134641.1044934,263994346.7116923,70131944.39280108,839903.5256622883,0.0014287355194202394
0.4,30,70,167,69,8350,389823747.9552423,307993404.4969743,81821993.45826799,979904.1132726704,0.0012246096161309663
